Date,^GSPC,^GDAXI,^N225,^BVSP,^NSEI,^HSI,VIX
2010-06-18,1117.510009765625,6216.97998046875,9995.01953125,64438.0,5262.60009765625,20286.7109375,23.950000762939453
2010-06-21,1113.199951171875,6292.97021484375,10238.009765625,64829.0,5353.2998046875,20912.1796875,24.8799991607666
2010-06-22,1095.31005859375,6269.0400390625,10112.8896484375,64811.0,5316.5498046875,20819.080078125,27.049999237060547
2010-06-23,1092.0400390625,6204.52001953125,9923.7001953125,65160.0,5323.14990234375,20856.609375,26.90999984741211
2010-06-24,1073.68994140625,6115.47998046875,9928.33984375,63937.0,5320.60009765625,20733.490234375,29.739999771118164
2010-06-25,1076.760009765625,6070.60009765625,9737.48046875,64824.0,5269.0498046875,20690.7890625,28.530000686645508
2010-06-28,1074.5699462890625,6157.22021484375,9693.9404296875,64225.0,5333.5,20726.6796875,29.0
2010-06-29,1041.239990234375,5952.02978515625,9570.669921875,61978.0,5256.14990234375,20248.900390625,34.130001068115234
2010-06-30,1030.7099609375,5965.52001953125,9382.6396484375,60936.0,5312.5,20128.990234375,34.540000915527344
2010-07-01,1027.3699951171875,5857.43017578125,9191.599609375,61236.0,5251.39990234375,,32.86000061035156
2010-07-02,1022.5800170898438,5834.14990234375,9203.7099609375,61430.0,5237.10009765625,19905.3203125,30.1200008392334
2010-07-05,,5816.2001953125,9266.7802734375,60865.0,5235.89990234375,19842.19921875,
2010-07-06,1028.06005859375,5940.97998046875,9338.0400390625,62065.0,5289.0498046875,20084.119140625,29.649999618530273
2010-07-07,1060.27001953125,5992.85986328125,9279.650390625,63284.0,5241.10009765625,19857.0703125,26.84000015258789
2010-07-08,1070.25,6035.66015625,9535.740234375,63476.0,5296.85009765625,20050.560546875,25.709999084472656
2010-07-09,1077.9599609375,6065.240234375,9585.3203125,,5352.4501953125,20378.66015625,24.979999542236328
2010-07-12,1078.75,6077.18994140625,9548.1103515625,62960.0,5383.0,20467.4296875,24.43000030517578
2010-07-13,1095.3399658203125,6191.1298828125,9537.23046875,63686.0,5400.64990234375,20431.060546875,24.559999465942383
2010-07-14,1095.1700439453125,6209.759765625,9795.240234375,63479.0,5386.14990234375,20560.810546875,24.889999389648438
2010-07-15,1096.47998046875,6149.35986328125,9685.5302734375,63489.0,5378.75,20255.619140625,25.139999389648438
2010-07-16,1064.8800048828125,6040.27001953125,9408.3603515625,62339.0,5393.89990234375,20250.16015625,26.25
2010-07-19,1071.25,6009.10986328125,,63297.0,5386.4501953125,20090.94921875,25.969999313354492
2010-07-20,1083.47998046875,5967.490234375,,64463.0,5368.0,20264.58984375,23.93000030517578
2010-07-21,1069.5899658203125,5990.3798828125,9278.830078125,64477.0,5399.35009765625,20487.23046875,25.639999389648438
2010-07-22,1093.6700439453125,6142.14990234375,9220.8798828125,65748.0,5441.9501953125,20589.69921875,24.6299991607666
2010-07-23,1102.6600341796875,6166.33984375,9430.9599609375,66323.0,5449.10009765625,20815.330078125,23.469999313354492
2010-07-26,1115.010009765625,6194.2099609375,9503.66015625,66443.0,5418.60009765625,20839.91015625,22.729999542236328
2010-07-27,1113.8399658203125,6207.31005859375,9496.849609375,66674.0,5430.60009765625,20973.390625,23.190000534057617
2010-07-28,1106.1300048828125,6178.93994140625,9753.26953125,66808.0,5397.5498046875,21091.1796875,24.25
2010-07-29,1101.530029296875,6134.7001953125,9696.01953125,66954.0,5408.89990234375,21093.8203125,24.1299991607666
2010-07-30,1101.5999755859375,6147.97021484375,9537.2998046875,67515.0,5367.60009765625,21029.810546875,23.5
2010-08-02,1125.8599853515625,6292.1298828125,9570.3095703125,68517.0,5431.64990234375,21412.7890625,22.010000228881836
2010-08-03,1120.4599609375,6307.91015625,9694.009765625,67997.0,5439.5498046875,21457.66015625,22.6299991607666
2010-08-04,1127.239990234375,6331.330078125,9489.33984375,68272.0,5467.85009765625,21549.880859375,22.209999084472656
2010-08-05,1125.81005859375,6333.580078125,9653.919921875,68412.0,5447.10009765625,21551.720703125,22.100000381469727
2010-08-06,1121.6400146484375,6259.6298828125,9642.1201171875,68095.0,5439.25,21678.80078125,21.739999771118164
2010-08-09,1127.7900390625,6351.60009765625,9572.490234375,67862.0,5486.14990234375,21801.58984375,22.139999389648438
2010-08-10,1121.06005859375,6286.25,9551.0498046875,67223.0,5460.7001953125,21473.599609375,22.3700008392334
2010-08-11,1089.469970703125,6154.06982421875,9292.849609375,65790.0,5420.60009765625,21294.5390625,25.389999389648438
2010-08-12,1083.6099853515625,6135.169921875,9212.58984375,65966.0,5416.4501953125,21105.7109375,25.729999542236328
2010-08-13,1079.25,6110.41015625,9253.4599609375,66264.0,5452.10009765625,21071.5703125,26.239999771118164
2010-08-16,1079.3800048828125,6110.56982421875,9196.669921875,66702.0,5418.2998046875,21112.119140625,26.100000381469727
2010-08-17,1092.5400390625,6206.39990234375,9161.6796875,67584.0,5414.14990234375,21137.4296875,24.329999923706055
2010-08-18,1094.1600341796875,6186.31005859375,9240.5400390625,67638.0,5479.14990234375,21022.73046875,24.59000015258789
2010-08-19,1075.6300048828125,6075.1298828125,9362.6796875,66887.0,5540.2001953125,21072.4609375,26.440000534057617
2010-08-20,1071.68994140625,6005.16015625,9179.3798828125,66677.0,5530.64990234375,20981.8203125,25.489999771118164
2010-08-23,1067.3599853515625,6010.91015625,9116.6904296875,65982.0,5543.5,20889.009765625,25.65999984741211
2010-08-24,1051.8699951171875,5935.43994140625,8995.1396484375,65156.0,5505.10009765625,20658.7109375,27.459999084472656
2010-08-25,1055.3299560546875,5899.5,8845.3896484375,64803.0,5462.35009765625,20634.98046875,26.700000762939453
2010-08-26,1047.219970703125,5912.580078125,8906.48046875,63867.0,5477.89990234375,20612.060546875,27.3700008392334
2010-08-27,1064.5899658203125,5951.169921875,8991.0595703125,65585.0,5408.7001953125,20597.349609375,24.450000762939453
2010-08-30,1048.9200439453125,5912.41015625,9149.259765625,64261.0,5415.4501953125,20737.220703125,27.209999084472656
2010-08-31,1049.3299560546875,5925.22021484375,8824.0595703125,65145.0,5402.39990234375,20536.490234375,26.049999237060547
2010-09-01,1080.2900390625,6083.89990234375,8927.01953125,67073.0,5471.85009765625,20623.830078125,23.889999389648438
2010-09-02,1090.0999755859375,6083.85009765625,9062.83984375,66808.0,5486.14990234375,20868.919921875,23.190000534057617
2010-09-03,1104.510009765625,6134.6201171875,9114.1298828125,66679.0,5479.39990234375,20971.5,21.309999465942383
