Date,^GSPC_Price,^GDAXI_Price,^N225_Price,^BVSP_Price,^NSEI_Price,^HSI_Price,^GSPC_Returns,^GDAXI_Returns,^N225_Returns,^BVSP_Returns,^NSEI_Returns,^HSI_Returns,VIX_Price,VIX_Returns
2024-01-30,4924.97021484375,16972.33984375,36065.859375,127402.0,21522.099609375,15703.4501953125,-0.00060083039698,0.0018062669526006,0.0010796632148757,-0.0086048087642875,-0.0099631660190464,-0.0235241759313975,13.3100004196167,-0.02155415685780726
2024-01-31,4845.64990234375,16903.759765625,36286.7109375,127752.0,21725.69921875,15485.0703125,-0.0162368517407323,-0.0040488824040814,0.0061048901916826,0.0027434429365982,0.0094155595904847,-0.0140040917749111,14.350000381469727,0.07523430485544269
2024-02-01,4906.18994140625,16859.0390625,36011.4609375,128481.0,21697.44921875,15566.2099609375,0.0124162861140497,-0.0026491126820413,-0.0076143372019963,0.0056901489421736,-0.0013011495021491,0.0052261827791593,13.880000114440918,-0.03330100546520498
2024-02-02,4958.60986328125,16918.2109375,36158.01953125,127182.0,21853.80078125,15533.5595703125,0.0106277707226318,0.003503656190535,0.0040615172581617,-0.0101619020220855,0.007180149098767,-0.0020997199087293,13.850000381469727,-0.0021637031473935586
2024-02-05,4942.81005859375,16904.060546875,36354.16015625,127593.0,21771.69921875,15510.009765625,-0.0031914247092839,-0.0008367499182977,0.0054098802218476,0.0032263790130588,-0.0037639297855083,-0.0015172101474636,13.670000076293945,-0.013081603859306679
2024-02-06,4954.22998046875,17033.240234375,36160.66015625,130416.0,21929.400390625,16136.8701171875,0.0023077459317484,0.0076128807194404,-0.0053368527547359,0.0218838308803874,0.0072172946598545,0.0396211163461792,13.0600004196167,-0.04564950033878068
2024-02-07,4995.06005859375,16921.9609375,36119.921875,129608.0,21930.5,16081.8896484375,0.0082076825940085,-0.006554500720231,-0.0011272262734696,-0.0062148309439837,5.014190025320886e-05,-0.0034129508720219,12.829999923706055,-0.017767983297182433
2024-02-08,4997.91015625,16963.830078125,36863.28125,128217.0,21717.94921875,15878.0703125,0.0005704205400913,0.0024711928319973,0.02037140192445,-0.0107903694086406,-0.0097392904057524,-0.0127548407063819,12.789999961853027,-0.0031225600728288505
2024-02-09,5026.60986328125,16926.5,36897.421875,128026.0,21782.5,15746.580078125,0.0057259171287942,-0.0022029937823813,0.0009257131776578,-0.0014907727069495,0.0029678235415708,-0.0083157277931622,12.930000305175781,0.010886603777725323
2024-02-12,5021.83984375,17037.349609375,,,21616.05078125,,-0.000949404142652,0.0065275287840158,,,-0.0076707646646063,,13.930000305175781,0.07449459331360897
2024-02-13,4953.169921875,16880.830078125,37963.96875,,21743.25,,-0.013768609419845,-0.009229306744622,0.0284958384002322,,0.0058672340814869,,15.850000381469727,0.12912471469125686
